context_size_blocks,mode,exact_match_pct,f1_score_pct,numeric_preservation_pct,gold_block_recall_pct,suffix_error_rate_pct,abstention_accuracy_pct,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,selector_p50_ms,selector_p95_ms,avg_kept_blocks,avg_token_reduction_pct,avg_tokens_per_sec_in,avg_tokens_per_sec_out,effective_context_tokens_per_sec,oom_rate_pct,cost_per_correct_answer_sec
50,full_context,61.66666666666667,77.15945203573976,86.33333333333333,100.0,73.33333333333333,0.0,286.36269999879005,399.54787499809754,408.2699660000798,1689.1423999986728,2809.634169999117,2935.5340170015916,0.0,0.0,50.0,0.0,18838.91155109506,42.61238375746736,3650.837107088965,0.0,3.0041240632432755
50,hybrid,60.333333333333336,79.21152235549917,86.0,100.0,73.33333333333333,0.0,44.19374999997672,105.5113900018114,251.41956299969019,1287.342499999795,1990.7488100010598,2224.2869629995394,13.368249999530235,17.954534999989846,5.26,89.48,13856.699339948314,47.69007116989931,4918.235454044153,0.0,2.252451786740257
50,oracle,74.0,87.46689665110719,98.33333333333333,100.0,10.0,0.0,52.734849999978906,87.12694999976522,97.07180400073412,1527.8218500006915,2059.1491999997743,2237.9757329989293,0.0,0.0,1.3433333333333333,97.31333333333333,7235.965283501564,40.73349481449283,4249.563483788677,0.0,2.0972630450449796
50,predictor_cached,61.66666666666667,78.32103509455555,86.66666666666667,99.33333333333333,73.33333333333333,0.0,59.375200000431505,146.11054499819147,319.1754150008997,1583.429750000505,2392.841300001055,2592.0667589978607,23.91434999935882,28.98415000040586,5.26,89.48,11635.64343774235,38.85712563565839,4005.286748569558,0.0,2.7333999940540976
50,predictor_otf,61.66666666666667,78.4543684278889,86.66666666666667,99.33333333333333,73.33333333333333,0.0,53.12095000044792,105.18282999946679,210.404208000581,1428.8218000001507,1998.7074549970205,2221.1284020005405,65.09160000041447,74.1247749997001,5.26,89.48,12513.848348719714,42.71228688385541,4259.260536211011,0.0,2.5094060529731785
50,random,5.333333333333334,33.30775629248979,26.0,14.666666666666666,90.0,0.0,54.959699999017175,104.76041999954761,239.50374700147194,1560.7792000009795,2055.4666749978423,2379.038671002526,0.0,0.0,5.26,89.48,14254.938322782926,40.109740813745574,4077.381303814631,0.0,30.18097554375163
200,full_context,52.666666666666664,69.08055209192177,85.0,100.0,73.33333333333333,0.0,455.54824999817356,539.415454999471,579.7299150011168,1741.5475500001776,2704.0738550011165,2952.465824001738,0.0,0.0,200.0,0.0,18556.971584134135,45.844587693508714,14904.223795771879,0.0,3.4722685575952363
200,hybrid,61.66666666666667,80.48983513335462,88.0,100.0,73.33333333333333,0.0,50.66794999947888,106.64167499762706,406.04713900022034,1390.5371500004549,2140.8042999972167,2466.1965500005313,14.70545000029233,19.988789999388246,9.74,95.13,10185.53805323713,44.51877211222111,18392.664104687465,0.0,2.3736397502701654
200,oracle,74.0,87.46689665110719,98.33333333333333,100.0,10.0,0.0,47.817700000450714,79.33466499853239,88.69133599982888,1384.0142999997624,2029.0961450004033,2174.830816000976,0.0,0.0,1.3433333333333333,99.32833333333333,7805.166212193888,44.31095127320853,18432.12072765714,0.0,1.9472013153153969
200,predictor_cached,62.0,80.32775698069676,87.66666666666667,99.33333333333333,73.33333333333333,0.0,59.90755000129866,141.4477100001023,183.3526560002792,1533.0775999991602,2033.1303049979397,2244.4532229992546,26.008900000306312,31.933040000285473,9.74,95.13,9872.535936936607,40.4265660103259,16628.469777721035,0.0,2.554426780644995
200,predictor_otf,62.0,80.32775698069676,87.66666666666667,99.33333333333333,73.33333333333333,0.0,53.25119999906747,244.89329499920132,343.51468700264365,1453.5927999986598,2366.9395450011507,2600.449087000524,116.21950000017023,141.67000499996902,9.74,95.13,9893.060673006032,42.15123987915378,16273.412480404771,0.0,2.691251796774312
200,random,2.0,27.954272108395312,22.333333333333332,11.0,83.33333333333334,0.0,54.395900000599795,218.64689000030936,292.2652519988696,1516.8073500008177,2143.9881850008533,2494.7968999982186,0.0,0.0,9.74,95.13,9830.890193727791,40.19755045588057,17022.15467425769,0.0,78.60177691666527
400,full_context,0.0,26.40352931862794,77.66666666666666,100.0,86.66666666666667,0.0,746.6591500015056,808.8579150013175,850.415454002541,1597.903600000791,2768.7430750011117,2959.108744999103,0.0,0.0,400.0,0.0,16847.39605861492,41.23122994429627,31403.57362917782,0.0,526.9095313999751
400,hybrid,61.0,78.68077599469405,83.33333333333334,100.0,76.66666666666667,0.0,46.48269999779586,259.8294799998258,450.413190999461,1309.5080000002781,2087.185444998068,2350.1583530000426,17.800250000163942,23.715199999742254,17.316666666666666,95.67083333333333,11791.092090677423,46.73364773249509,38021.59206718953,0.0,2.316561759562806
