question_id,category,project,context_size_blocks,mode,oom,exact_match,f1_score,numeric_preservation,gold_block_recall,suffix_error,abstention_correct,is_abstention,ttft_ms,decode_ms,e2e_ms,selector_latency_ms,tokens_per_sec_in,tokens_per_sec_out,effective_context_tokens_per_sec,kept_blocks_count,token_reduction_pct
Q0019,A,TITAN-19,200,predictor_cached,False,True,1.0,True,True,False,True,False,387.64549999905284,1659.5087999994576,2047.1542999985104,25.838300000032177,1111.8405863115993,31.334573218302307,12349.296374728014,4,98.0
Q0014,A,ORION-14,200,predictor_cached,False,True,1.0,True,True,False,True,False,69.7645999971428,1338.8138000009349,1408.5783999980777,25.67529999942053,6149.250479721372,38.840352556840756,17849.0039802893,4,98.0
Q0010,A,KRONOS-10,200,predictor_cached,False,True,1.0,True,True,False,True,False,62.69619999875431,1552.4056000031123,1615.1018000018666,28.53620000041701,6874.41982143357,38.64969309559287,15575.20573262752,4,98.0
Q0026,A,SAKURA-26,200,predictor_cached,False,True,1.0,True,True,False,True,False,69.58290000329725,1690.1033999965875,1759.6862999998848,24.88230000017211,7487.47177791256,35.50078651999703,14345.203653140139,4,98.0
Q0022,A,WARP-22,200,predictor_cached,False,True,1.0,True,True,False,True,False,97.60089999690535,1455.3729000035673,1552.9738000004727,31.5467999998873,4395.451271592807,40.53943838026349,16156.306203904312,4,98.0
Q0006,A,GENESIS-6,200,predictor_cached,False,True,1.0,True,True,False,True,False,127.41150000147172,1288.1837999993877,1415.5953000008594,25.246700000025157,3351.3458360906807,45.02463080193026,17767.388790710072,4,98.0
Q0005,A,FALCON-5,200,predictor_cached,False,True,1.0,True,True,False,True,False,59.63519999932032,1581.1624000016309,1640.7976000009512,25.117099999988568,10228.85812417754,40.47655066926331,15366.933252936395,4,98.0
Q0012,A,METEOR-12,200,predictor_cached,False,True,1.0,True,True,False,True,False,58.23989999771584,1644.5607000023301,1702.800600000046,24.961399999483547,10508.259801682396,36.48390722210192,14816.85556228634,4,98.0
Q0011,A,LUNA-11,200,predictor_cached,False,True,1.0,True,True,False,True,False,72.88709999920684,1459.266599998955,1532.1536999981618,25.126999999883992,5913.254883301574,41.11654443406227,16438.911751768403,4,98.0
Q0015,A,PHOENIX-15,200,predictor_cached,False,True,1.0,True,True,False,True,False,104.469899997639,1541.6083000018261,1646.0781999994651,25.235000000066066,5867.718835892957,33.73100676737301,15317.296602460377,4,98.0
Q0009,A,JUPITER-9,200,predictor_cached,False,True,1.0,True,True,False,True,False,77.80030000139959,1936.8419999991602,2014.6423000005598,25.544600000102946,6658.072012456011,30.461958177293543,12547.870001513922,4,98.0
Q0025,A,VANTAGE-25,200,predictor_cached,False,True,1.0,True,True,False,True,False,92.39940000043134,1844.016200000624,1936.4156000010553,25.381299999935436,5627.74217145969,32.537675102843295,13049.261113618373,4,98.0
Q0029,A,COMET-29,200,predictor_cached,False,True,1.0,True,True,False,True,False,86.76179999747546,1717.1952999997302,1803.9570999972057,26.01460000005318,5993.421067971511,34.35835166798399,13989.287375339381,4,98.0
Q0021,A,VEGA-21,200,predictor_cached,False,True,1.0,True,True,False,True,False,48.91680000218912,1491.5949999995064,1540.5118000016955,24.820599999657134,8769.993130801717,39.55497303223699,16354.353873961772,4,98.0
Q0016,A,QUASAR-16,200,predictor_cached,False,True,1.0,True,True,False,True,False,65.05259999903501,1369.42320000162,1434.475800000655,25.213900000380818,6625.4077470599705,43.81406711959387,17537.973995419597,4,98.0
Q0027,A,NEBULA-27,200,predictor_cached,False,True,1.0,True,True,False,True,False,58.6669999975129,1656.0506000023452,1714.717599999858,25.24600000015198,8846.540645030464,36.23077700640007,14712.951466340935,4,98.0
Q0001,A,BEACON-1,200,predictor_cached,False,True,1.0,True,True,False,True,False,75.10499999989406,1757.8512000000046,1832.9561999998987,25.047200000699377,6870.3814659573645,33.56370550590394,13778.23097632209,4,98.0
Q0013,A,NEXUS-13,200,predictor_cached,False,True,1.0,True,True,False,True,False,83.71819999956642,1468.41349999886,1552.1316999984265,31.641300000046613,5148.223444869002,35.41236851884048,16163.932583788637,4,98.0
Q0018,A,SIRIUS-18,200,predictor_cached,False,True,1.0,True,True,False,True,False,92.0140000016545,1760.9064999996917,1852.9205000013462,31.262299999980314,4705.805638187822,34.64124869776486,13586.792109545835,4,98.0
Q0002,A,CHRONOS-2,200,predictor_cached,False,True,1.0,True,True,False,True,False,62.43040000117617,1793.2853999991494,1855.7158000003255,32.533400000829715,6871.652271840606,32.90050763811939,13557.532554487161,4,98.0
